word;type;trans;exampl
Apfel;Noun;Apple;<<Ich esse gerne einen Apfel zum Frühstück.>> (I like to eat an apple for breakfast.)
Arbeiten;Verb;To work;<<Er arbeitet als Lehrer.>> (He works as a teacher.)
Attraktiv;Adjective;Attractive;<<Sie ist eine attraktive Frau.>> (She is an attractive woman.)
Auto;Noun;Car;<<Ich fahre mit dem Auto zur Arbeit.>> (I go to work by car.)
Buch;Noun;Book;<<Ich lese gerne ein gutes Buch.>> (I like to read a good book.)
Berg;Noun;Mountain;<<Wir planen eine Wanderung in den Bergen.>> (We are planning a hike in the mountains.)
Bleistift;Noun;Pencil;<<Hast du bitte einen Bleistift für mich?>> (Do you have a pencil for me, please?)
Blume;Noun;Flower;<<Sie hat mir eine schöne Blume geschenkt.>> (She gave me a beautiful flower.)
Brief;Noun;Letter;<<Ich schreibe einen Brief an meinen Freund.>> (I am writing a letter to my friend.)
Brille;Noun;Glasses;<<Er trägt eine Brille, um besser zu sehen.>> (He wears glasses to see better.)
Brötchen;Noun;Roll;<<Kannst du mir bitte ein Brötchen mitbringen?>> (Can you please bring me a roll?)
Bus;Noun;Bus;<<Wir nehmen den Bus, um zur Arbeit zu fahren.>> (We take the bus to go to work.)
Butter;Noun;Butter;<<Kannst du mir bitte die Butter reichen?>> (Can you please pass me the butter?)
Computer;Noun;Computer;<<Ich arbeite viel mit dem Computer.>> (I work a lot with the computer.)
Dankbar;Adjective;Grateful;<<Ich bin dir für deine Hilfe dankbar.>> (I am grateful to you for your help.)
Datum;Noun;Date;<<Kannst du mir bitte das Datum sagen?>> (Can you please tell me the date?)
Dose;Noun;Can;<<Kannst du mir bitte die Dose öffnen?>> (Can you please open the can for me?)
Draußen;Adverb;Outside;<<Die Kinder spielen draußen im Park.>> (The children are playing outside in the park.)
Drei;Number;Three;<<Ich habe drei Bücher gelesen.>> (I have read three books.)
Durst;Noun;Thirst;<<Ich habe großen Durst, ich brauche etwas zu trinken.>> (I am very thirsty, I need something to drink.)
Einfach;Adjective;Simple;<<Das ist eine einfache Aufgabe.>> (This is a simple task.)
Einladung;Noun;Invitation;<<Ich habe eine Einladung zur Geburtstagsparty bekommen.>> (I received an invitation to the birthday party.)
Eis;Noun;Ice cream;<<Im Sommer esse ich gerne Eis.>> (In the summer, I like to eat ice cream.)
Erfolg;Noun;Success;<<Sein harter Arbeit hat endlich Erfolg gebracht.>> (His hard work has finally brought success.)
Essen;Noun;Food;<<Ich koche gerne und esse gutes Essen.>> (I like to cook and eat good food.)
Familie;Noun;Family;<<Meine Familie ist sehr wichtig für mich.>> (My family is very important to me.)
Fenster;Noun;Window;<<Kannst du bitte das Fenster öffnen?>> (Can you please open the window?)
Feuer;Noun;Fire;<<Wir machen ein Feuer, um uns warm zu halten.>> (We are making a fire to keep ourselves warm.)
Flasche;Noun;Bottle;<<Kannst du mir bitte eine Flasche Wasser geben?>> (Can you please give me a bottle of water?)
Flugzeug;Noun;Airplane;<<Wir fliegen mit dem Flugzeug in den Urlaub.>> (We are flying by airplane for vacation.)
Foto;Noun;Photo;<<Ich habe viele schöne Fotos von meiner Reise gemacht.>> (I took many beautiful photos of my trip.)
Frei;Adjective;Free;<<Heute habe ich frei und kann entspannen.>> (Today I am free and can relax.)
Freund;Noun;Friend;<<Er ist mein bester Freund.>> (He is my best friend.)
Frühstück;Noun;Breakfast;<<Ich esse immer ein gesundes Frühstück.>> (I always have a healthy breakfast.)
Frühling;Noun;Spring;<<Im Frühling blühen die Blumen und es wird wärmer.>> (In spring, the flowers bloom and it gets warmer.)
Fußball;Noun;Football/Soccer;<<Ich spiele gerne Fußball in meiner Freizeit.>> (I like to play football/soccer in my free time.)
Führung;Noun;Guided tour;<<Wir haben eine interessante Führung durch das Museum gemacht.>> (We did an interesting guided tour of the museum.)
Garten;Noun;Garden;<<Ich arbeite gerne in meinem Garten.>> (I enjoy working in my garden.)
Geburtstag;Noun;Birthday;<<Heute ist mein Geburtstag.>> (Today is my birthday.)
Geld;Noun;Money;<<Kannst du mir bitte etwas Geld leihen?>> (Can you please lend me some money?)
Geschenk;Noun;Gift;<<Sie hat mir ein wunderschönes Geschenk gemacht.>> (She gave me a beautiful gift.)
Gesundheit;Noun;Health;<<Ich wünsche dir gute Gesundheit.>> (I wish you good health.)
Glas;Noun;Glass;<<Kannst du mir bitte ein Glas Wasser geben?>> (Can you please give me a glass of water?)
Gleich;Adjective/Adverb;Same/Equal;<<Die beiden Tassen sind gleich groß.>> (The two cups are the same size.)
Globus;Noun;Globe;<<Mein Sohn findet den Globus sehr interessant.>> (My son finds the globe very interesting.)
Guten Morgen;Greeting;Good morning;<<Guten Morgen! Wie geht es dir?>> (Good morning! How are you?)
Guten Tag;Greeting;Good day;<<Guten Tag! Wie kann ich Ihnen helfen?>> (Good day! How can I help you?)
Gut;Adjective;Good;<<Das Essen war sehr gut.>> (The food was very good.)
Haustier;Noun;Pet;<<Meine Tochter wünscht sich ein Haustier.>> (My daughter wants a pet.)
Haus;Noun;House;<<Wir haben ein großes Haus mit einem Garten.>> (We have a big house with a garden.)
Herbst;Noun;Autumn;<<Die Blätter fallen im Herbst von den Bäumen.>> (Leaves fall from the trees in autumn.)
Himmel;Noun;Sky;<<Der Himmel ist heute wolkenlos und blau.>> (The sky is cloudless and blue today.)
Hobby;Noun;Hobby;<<Mein Hobby ist Fotografie.>> (My hobby is photography.)
Hochzeit;Noun;Wedding;<<Sie planen eine große Hochzeit im Sommer.>> (They are planning a big wedding in summer.)
Hose;Noun;Pants;<<Ich ziehe meine Hose an, bevor ich das Haus verlasse.>> (I put on my pants before leaving the house.)
Hund;Noun;Dog;<<Mein Hund ist ein Labrador Retriever.>> (My dog is a Labrador Retriever.)
Hunger;Noun;Hunger;<<Ich habe großen Hunger nach einem langen Spaziergang.>> (I have great hunger after a long walk.)
Idee;Noun;Idea;<<Ich habe eine tolle Idee für ein neues Projekt.>> (I have a great idea for a new project.)
Imbiss;Noun;Snack;<<Ich esse oft einen kleinen Imbiss am Nachmittag.>> (I often have a small snack in the afternoon.)
Insel;Noun;Island;<<Wir planen einen Urlaub auf einer einsamen Insel.>> (We are planning a vacation on a secluded island.)
Interessant;Adjective;Interesting;<<Der Vortrag war sehr interessant und lehrreich.>> (The lecture was very interesting and informative.)
Jacke;Noun;Jacket;<<Ich ziehe meine Jacke an, weil es kalt ist.>> (I put on my jacket because it's cold.)
Jahr;Noun;Year;<<Das neue Jahr beginnt am 1. Januar.>> (The new year starts on January 1st.)
Kaffee;Noun;Coffee;<<Ich trinke gerne eine Tasse Kaffee am Morgen.>> (I enjoy a cup of coffee in the morning.)
Kamera;Noun;Camera;<<Ich habe meine Kamera mitgenommen, um Fotos zu machen.>> (I brought my camera to take photos.)
Karte;Noun;Card/Map;<<Kannst du mir bitte eine Geburtstagskarte kaufen?>> (Can you please buy me a birthday card?)
Kaufhaus;Noun;Department store;<<Ich gehe gerne in das große Kaufhaus in der Innenstadt.>> (I like to go to the big department store in the city center.)
Keller;Noun;Basement;<<Ich habe viele Sachen im Keller gelagert.>> (I have stored many things in the basement.)
Kennenlernen;Verb;To get to know;<<Ich möchte gerne neue Leute kennenlernen.>> (I would like to get to know new people.)
Kinder;Noun;Children;<<Die Kinder spielen fröhlich im Park.>> (The children are playing happily in the park.)
Kino;Noun;Cinema;<<Wir gehen heute ins Kino, um einen Film anzuschauen.>> (We are going to the cinema today to watch a movie.)
Kleid;Noun;Dress;<<Sie trägt ein elegantes Kleid für die Party.>> (She is wearing an elegant dress for the party.)
Kochen;Verb;To cook;<<Ich koche gerne für meine Familie.>> (I enjoy cooking for my family.)
